"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.27","50.34","VERNON NORTH","1128583","2020-06-22","2020","06","22","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-06-23","2020","06","23","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-06-24","2020","06","24","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-06-25","2020","06","25","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-06-26","2020","06","26","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-06-27","2020","06","27","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-06-28","2020","06","28","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-06-29","2020","06","29","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-06-30","2020","06","30","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-07-01","2020","07","01","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-07-02","2020","07","02","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-07-03","2020","07","03","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-07-04","2020","07","04","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-07-05","2020","07","05","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-07-06","2020","07","06","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-07-07","2020","07","07","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-07-08","2020","07","08","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-07-09","2020","07","09","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-07-10","2020","07","10","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-07-11","2020","07","11","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-07-12","2020","07","12","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-07-13","2020","07","13","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-07-14","2020","07","14","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-07-15","2020","07","15","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-07-16","2020","07","16","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-07-17","2020","07","17","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-07-18","2020","07","18","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-07-19","2020","07","19","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-07-20","2020","07","20","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-07-21","2020","07","21","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-07-22","2020","07","22","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-07-23","2020","07","23","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-07-24","2020","07","24","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-07-25","2020","07","25","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-07-26","2020","07","26","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-07-27","2020","07","27","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-07-28","2020","07","28","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-07-29","2020","07","29","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-07-30","2020","07","30","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-07-31","2020","07","31","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-08-01","2020","08","01","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-08-02","2020","08","02","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-08-03","2020","08","03","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-08-04","2020","08","04","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-08-05","2020","08","05","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-08-06","2020","08","06","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-08-07","2020","08","07","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-08-08","2020","08","08","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-08-09","2020","08","09","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-08-10","2020","08","10","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-08-11","2020","08","11","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-08-12","2020","08","12","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-08-13","2020","08","13","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-08-14","2020","08","14","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-08-15","2020","08","15","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-08-16","2020","08","16","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-08-17","2020","08","17","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-08-18","2020","08","18","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-08-19","2020","08","19","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-08-20","2020","08","20","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-08-21","2020","08","21","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-08-22","2020","08","22","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-08-23","2020","08","23","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-08-24","2020","08","24","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-08-25","2020","08","25","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-08-26","2020","08","26","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-08-27","2020","08","27","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-08-28","2020","08","28","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-08-29","2020","08","29","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-08-30","2020","08","30","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-08-31","2020","08","31","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-09-01","2020","09","01","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-09-02","2020","09","02","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-09-03","2020","09","03","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-09-04","2020","09","04","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-09-05","2020","09","05","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-09-06","2020","09","06","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-09-07","2020","09","07","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-09-08","2020","09","08","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-09-09","2020","09","09","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-09-10","2020","09","10","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-09-11","2020","09","11","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-09-12","2020","09","12","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-09-13","2020","09","13","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-09-14","2020","09","14","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-09-15","2020","09","15","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-09-16","2020","09","16","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-09-17","2020","09","17","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-09-18","2020","09","18","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-09-19","2020","09","19","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-09-20","2020","09","20","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-09-21","2020","09","21","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-09-22","2020","09","22","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-09-23","2020","09","23","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-09-24","2020","09","24","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-09-25","2020","09","25","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-09-26","2020","09","26","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-09-27","2020","09","27","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-09-28","2020","09","28","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-09-29","2020","09","29","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-09-30","2020","09","30","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-10-01","2020","10","01","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-10-02","2020","10","02","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-10-03","2020","10","03","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-10-04","2020","10","04","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-10-05","2020","10","05","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-10-06","2020","10","06","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-10-07","2020","10","07","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-10-08","2020","10","08","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-10-09","2020","10","09","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-10-10","2020","10","10","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-10-11","2020","10","11","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-10-12","2020","10","12","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-10-13","2020","10","13","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-10-14","2020","10","14","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-10-15","2020","10","15","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-10-16","2020","10","16","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-10-17","2020","10","17","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-10-18","2020","10","18","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-10-19","2020","10","19","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-10-20","2020","10","20","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-10-21","2020","10","21","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-10-22","2020","10","22","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-10-23","2020","10","23","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-10-24","2020","10","24","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-10-25","2020","10","25","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-10-26","2020","10","26","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-10-27","2020","10","27","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-10-28","2020","10","28","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-10-29","2020","10","29","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-10-30","2020","10","30","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-10-31","2020","10","31","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-11-01","2020","11","01","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-11-02","2020","11","02","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-11-03","2020","11","03","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-11-04","2020","11","04","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-11-05","2020","11","05","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-11-06","2020","11","06","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-11-07","2020","11","07","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-11-08","2020","11","08","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-11-09","2020","11","09","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-11-10","2020","11","10","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-11-11","2020","11","11","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-11-12","2020","11","12","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-11-13","2020","11","13","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-11-14","2020","11","14","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-11-15","2020","11","15","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-11-16","2020","11","16","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-11-17","2020","11","17","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-11-18","2020","11","18","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-11-19","2020","11","19","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-11-20","2020","11","20","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-11-21","2020","11","21","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-11-22","2020","11","22","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-11-23","2020","11","23","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-11-24","2020","11","24","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-11-25","2020","11","25","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-11-26","2020","11","26","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-11-27","2020","11","27","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-11-28","2020","11","28","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-11-29","2020","11","29","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-11-30","2020","11","30","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-12-01","2020","12","01","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-12-02","2020","12","02","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-12-03","2020","12","03","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-12-04","2020","12","04","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-12-05","2020","12","05","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-12-06","2020","12","06","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-12-07","2020","12","07","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-12-08","2020","12","08","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-12-09","2020","12","09","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-12-10","2020","12","10","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-12-11","2020","12","11","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-12-12","2020","12","12","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-12-13","2020","12","13","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-12-14","2020","12","14","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-12-15","2020","12","15","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-12-16","2020","12","16","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-12-17","2020","12","17","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-12-18","2020","12","18","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-12-19","2020","12","19","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-12-20","2020","12","20","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-12-21","2020","12","21","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-12-22","2020","12","22","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-12-23","2020","12","23","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-12-24","2020","12","24","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-12-25","2020","12","25","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-12-26","2020","12","26","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-12-27","2020","12","27","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-12-28","2020","12","28","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-12-29","2020","12","29","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-12-30","2020","12","30","","","","","","","","","","","","","","","","","","","","","","",""
"-119.27","50.34","VERNON NORTH","1128583","2020-12-31","2020","12","31","","","","","","","","","","","","","","","","","","","","","","",""
